Header,Date,Description,Link
"

                        Global Change in African Fish Trade: Engine of Development or Threat to Local Food Security?
                    
",1-December-2008,"
                    Trade in fish does not lead to a decline in food security and availability of fish for the population of developing countries, according to this study of industrial and small-scale fisheries in the economy of Sub-Sahara Africa.
                ","=HYPERLINK(""https://www.oecd.org
                        http://dx.doi.org/10.1787/230215206300"",""more details"")"
"

                    African Economic Outlook 2008
                
",11-May-2008,"
                The 2008 African Economic Outlook focuses on Technical Skills Development. It also presents a comprehensive analysis of the economic, social and political developments on the continent.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/africaneconomicoutlook2008.htm"",""more details"")"
"

                    Aid for Trade: Donor & Partner Country Profiles
                
",3-January-2008,"
                Aid for Trade at a Glance 2007: The OECD Creditor Reporting System (CRS) database is used to track ODA flows from Development Assistance Committee (DAC) member countries.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/aidfortradedonorpartnercountryprofiles.htm"",""more details"")"
Nigeria: Country Assistance Evaluation (Approach Paper) ,27-July-2007,"This Country Assistance Evaluation will cover the strategy, program and outcomes of Bank assistance over nine years. This is the period of the restoration of democratic government in Nigeria following the death of General Abacha. ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/39598807.pdf"",""more details"")"
"

                    African Economic Outlook 2007
                
",12-May-2007,"
                The 31 countries examined in this sixth edition of the African Economic Outlook account for some 86 per cent of Africaâs population and 91 per cent of itseconomic output.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/africaneconomicoutlook2007.htm"",""more details"")"
"
AEO 2007 - Nigeria country study","
11-May-2007","NIGERIA CONTINUES TO MAKE PROGRESS on its far reaching economic reform programme, the National Economic Empowerment and Development Strategy (NEEDS), aimed at accelerating economic growth, reducing poverty, and achieving the Millennium Development Goals (MDGs).","=HYPERLINK(""https://www.oecd.org/countries/nigeria/38562978.pdf"",""more details"")"
"
African Economic Outlook 2002/03 - Country Studies: Nigeria","
3-March-2003",Country Study of Nigeria,"=HYPERLINK(""https://www.oecd.org/countries/nigeria/2497560.pdf"",""more details"")"
"
African Economic Outlook - Country Studies: Nigeria","
31-January-2002",,"=HYPERLINK(""https://www.oecd.org/countries/nigeria/1826208.pdf"",""more details"")"
"

                    African Economic Outlook - 2001/2002
                
",30-January-2002,"
                The African Economic Outlook project aims to provide valuable information on economic and social development progress in Africa, as well as on short-term prospects (up to 2002 for the 2001 report). It combines the knowledge and expertise accumula...
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/africaneconomicoutlook-20012002.htm"",""more details"")"
Header,Date,Description,Link
"

                    Good Laboratory Practice (GLP)
                
",5-September-2016,"
                This is the OECD Good Laboratory Practice (GLP) homepage. Questions raised by the public about OECD principles of GLP and the Mutual Acceptance of Data (MAD) system are now answered in the new publication 'General Questions about OECD GLP and MAD'. New OECD Position Paper regarding the Relationship between the OECD Principles of GLP and ISO/IEC 17025.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/good-laboratory-practiceglp.htm"",""more details"")"
"

                    Aid at a glance charts
                
",23-May-2016,"
                These ready-made tables and charts provide for snapshot of aid (Official Development Assistance) for all DAC Members as well as recipient countries and territories. Summary reports by regions (Africa, America, Asia, Europe, Oceania) and the world are also available.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/aid-at-a-glance.htm"",""more details"")"
"

                    New Global Forum peer reviews highlight ever-increasing compliance with tax transparency standards
                
",14-March-2016,"
                The worldâs leading forum on tax transparency published 10 new peer review reports today, pointing to ever-increasing compliance with the internationally-recognised standards to curb tax evasion through the exchange of information.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/new-global-forum-peer-reviews-highlight-ever-increasing-compliance-with-tax-transparency-standards.htm"",""more details"")"
"

                    Global Forum on Transparency and Exchange of Information for Tax Purposes Peer Reviews: Nigeria 2016 - Phase 2: Implementation of the Standard in Practice
                
",14-March-2016,This report contains the 2014 âPhase 2: Implementation of the Standards in Practiceâ Global Forum review of Nigeria.,"=HYPERLINK(""https://www.oecd.org/countries/nigeria/global-forum-on-transparency-and-exchange-of-information-for-tax-purposes-peer-reviews-nigeria-2016-9789264250857-en.htm"",""more details"")"
"

                        Nigeria African Economic Outlook 2015
                    
",28-July-2015,"
                    The economy has enjoyed sustained economic growth for a decade, with annual real GDP increasing by around 7%; it was 6.3% in 2014. The non-oil sector has been the main driver of growth, with services contributing about 57%
                ","=HYPERLINK(""https://www.oecd.org
                        http://www.africaneconomicoutlook.org/en/country-notes/west-africa/nigeria/"",""more details"")"
"

                    Africa: making growth more inclusive hinges on unlocking potential of local economies, says the African Economic Outlook 2015
                
",25-May-2015,"
                With Africaâs population set to double by 2050, modernising local economies will be vital to make the continent more competitive and to increase peopleâs living standards, according to the African Economic Outlook 2015, released at the African Development Bank Groupâs 50th Annual Meetings.
            ","=HYPERLINK(""https://www.oecd.org/countries/nigeria/press-release-african-economic-outlook-2015.htm"",""more details"")"
