Header,Date,Description,Link
Contribute to UN report on Higher Education for Sustainable Urban Development,22 Apr 2016,"
22 Apr 2016 - 


			","=HYPERLINK(""https://sustainabledevelopment.un.org/?page=view&nr=1068&type=230&menu=2059"",""more details"")"
Comments sought on Technical Report on post-2015 indicators,17 Apr 2015,"
17 Apr 2015 - At the beginning of the third session of the intergovernmental negotiations on a post-2015 development agenda, held from 23-27 March at UN Headquarters in New York, a technical report was presented by the Chair of the United Nations Statistical Commission (UNSC) on the process to develop indicators for the new agenda.


			","=HYPERLINK(""https://sustainabledevelopment.un.org/?page=view&nr=531&type=230&menu=2059"",""more details"")"
Latin American and Caribbean civil society capacity building workshop on post-2015 and HLPF,10 Apr 2015,"
10 Apr 2015 - ECLAC Workshop 4 May 2015


			","=HYPERLINK(""https://sustainabledevelopment.un.org/?page=view&nr=251&type=230&menu=2059"",""more details"")"
Member States and Stakeholders discuss vision for post-2015,1 Mar 2015,"
1 Mar 2015 - The post-2015 negotiating session (17-20 February 2015) held at UN Headquarters in New York focused on the Declaration of the new development agenda. 


			","=HYPERLINK(""https://sustainabledevelopment.un.org/?page=view&nr=44&type=230&menu=2059"",""more details"")"
Proposed Sustainable Development Goals ,1 Jan 2015,"
1 Jan 2015 - UN General Assembly decided that Report of the Open Working Group on SDGs would be main basis for integrating SDGs into the post-2015 agenda. 


			","=HYPERLINK(""https://sustainabledevelopment.un.org/?page=view&nr=124&type=230&menu=2059"",""more details"")"
Stakeholder Preparatory Forum held on 16 January,1 Jan 2015,"
1 Jan 2015 - The Major Groups Programme and the UN Non-Governmental Liaison Service are working to ensure participation of major groups in the negotiations.


			","=HYPERLINK(""https://sustainabledevelopment.un.org/?page=view&nr=104&type=230&menu=2059"",""more details"")"
Major Groups and other Stakeholders Forum on partnerships for SIDS ,1 Aug 2014,"
1 Aug 2014 - 28 and 29 August 2014


			","=HYPERLINK(""https://sustainabledevelopment.un.org/?page=view&nr=311&type=230&menu=2059"",""more details"")"
SIDS 2014 registration for Major Groups and other Stakeholders now open,1 Apr 2014,"
1 Apr 2014 - Deadline is 1 August, 2014


			","=HYPERLINK(""https://sustainabledevelopment.un.org/?page=view&nr=416&type=230&menu=2059"",""more details"")"
Dynamic dialogue between Stakeholders and Open Working Group ,1 Nov 2013,"
1 Nov 2013 - Intersessional meeting on 22 November 2013


			","=HYPERLINK(""https://sustainabledevelopment.un.org/?page=view&nr=541&type=230&menu=2059"",""more details"")"
New study evaluates Major Groups framework,1 Aug 2013,"
1 Aug 2013 - 


			","=HYPERLINK(""https://sustainabledevelopment.un.org/?page=view&nr=611&type=230&menu=2059"",""more details"")"
Google+ hang out highlights Major Groups successes at Rio+20 ,1 Apr 2013,"
1 Apr 2013 - On 26 March


			","=HYPERLINK(""https://sustainabledevelopment.un.org/?page=view&nr=706&type=230&menu=2059"",""more details"")"
Major Groups workspaces for Rio+20 - Now available,1 Mar 2013,"
1 Mar 2013 - 


			","=HYPERLINK(""https://sustainabledevelopment.un.org/?page=view&nr=729&type=230&menu=2059"",""more details"")"
Major groups present Position Paper on high-level political forum ,1 Mar 2013,"
1 Mar 2013 - 22 February


			","=HYPERLINK(""https://sustainabledevelopment.un.org/?page=view&nr=734&type=230&menu=2059"",""more details"")"
Way forward: outlook for 2013 and beyond,1 Jan 2013,"
1 Jan 2013 - 


			","=HYPERLINK(""https://sustainabledevelopment.un.org/?page=view&nr=799&type=230&menu=2059"",""more details"")"
