Header,Description,Link
Improving productivity and increasing agriculture-related income requires creative solutions - Opia Kumah,The importance of cassava has grown beyond its essence as a staple and food security crop. Cassava is now recognized as an essential industrial crop. It is now recognized as an essential raw material for large scale manufacturing. ,"=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/speeches/2016/09/06/statement-by-opia-mensah-kumah-resident-representative-a-i-at-the-first-asdp-cassava-value-chain-roundtable-meeting-lagos"",""more details"")"
UNDP to fully support quick roll out of the SDGs across all States - Pa Lamin Beyai ,"As the lead UN agency mandated to eradicate poverty globally, at UNDP we will continue with our central role in supporting the government to achieve its long term development aspirations. ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/speeches/2016/08/30/undp-will-fully-support-implementation-of-programmes-of-action-for-the-quick-roll-out-of-the-sdgs-across-all-states-pa-lamin-beyai-"",""more details"")"
"Stakeholder engagement key for resource management, sustainable development - Mandisa","We would like to commend the Federal Government of Nigeria and most importantly the pioneering efforts from Cross River State, on the achievements attained so far since the REDD+ Programme started in Nigeria in 2012. ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/speeches/2016/08/16/undp-statement-at-the-validation-workshop-on-integrated-analyses-for-a-redd-strategy-in-nigeria"",""more details"")"
"Japan supports social cohesion, de-radicalization initiatives in North East","Issues of livelihood support and social cohesion are critical to recovery and stabilization in the North-East. As you may be aware, over 2 million people have been internally displaced and critical infrastructure like schools, hospitals, security posts, roads, water and electricity supply facilities have been destroyed. ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/speeches/2016/08/15/japanese-funded-projects-to-promote-social-cohesion-address-de-radicalization-counter-terrorism-and-migration-launched"",""more details"")"
"With UNDP support, Nigeria moves to improve service delivery in the port sector","In an effort to enhance operational efficiency in the delivery of services within the country’s port sector, Nigeria has launched harmonised Standard Operating Procedures (SOPs) of all Agencies and Operators at the country’s Seaports.  ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/articles/2016/06/23/with-undp-support-nigeria-moves-to-improve-service-delivery-in-the-port-sector"",""more details"")"
UNDP will continue to support Nigeria in adopting a sustainable development pathway - Pa Lamin Beyai,"Intended Nationally Determined Contributions (INDCs) are no doubt one of the major outcomes of the Paris Agreement, and to a large extent, the centerpiece of the new global climate regime... ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/speeches/2016/05/31/undp-will-continue-to-support-nigeria-in-adopting-a-sustainable-development-pathway-pa-lamin-beyai"",""more details"")"
Insecurity remains an ever-present threat to peace and development of Nigeria - Fatma Samoura,"Although the future holds great promise and early efforts of the [new] Government are beginning to bear fruit, the development path ahead will, clearly, not be an easy one. Stakeholders therefore, need to work together to ensure that the great promise of this nation – peace, unity and prosperity-, is realised, not just for the present generation but also the future ones. ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/speeches/2016/05/13/insecurity-remains-an-ever-present-threat-to-peace-and-development-of-nigeria-fatma-samoura"",""more details"")"
Unchecked human security parameters pose threats to human development in Nigeria - NHDR2016,"“Insecurity remains an ever-present threat to peace and development of the country … and, without a doubt, poses great danger and exacerbates an already fragile economic development landscape as the country grapples with the reality of shifting from over-reliance on oil and gas sector to other sectors."" Fatma Samoura","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/pressreleases/2016/05/13/national-human-development-report-2016-makes-compelling-case-that-unchecked-human-security-parameters-impacts-on-human-development-in-nigeria"",""more details"")"
A call to reflect on the challenge of insecurity and development in Nigeria,"On this day two years ago, suspected Boko Haram militants raided Government Secondary School – Chibok in Borno state of Nigeria abducting more than 200 girls in the process.  To date, most of these girls are yet to be traced and rescued. But even some of those who were rescued, especially those who fell pregnant as a result of forced marriage to their abductors, were never fully re-integrated into society, adding to their trauma. ","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/articles/2016/04/14/a-call-to-reflect-on-the-challenge-of-insecurity-and-development-in-nigeria"",""more details"")"
"To pursue equitable and sustainable econonmic growth, structural reforms are needed - Fatma Samoura ","At the UN, we believe that in order to pursue economic growth that is both equitable and sustainable, a number of structural reforms are needed. This is increasingly becoming more urgent as countries embark of the SDGs implementation process. Going forward, Mr Chairman, we will pursue, together with our national partners, especially the government, an economic diversification programme that elevates the agricultural, non-oil manufacturing, solid minerals and the service sectors, shifting emphasis and attention to higher value adding activities whilst reducing reliance on volatile commodity exports such as oil and gas","=HYPERLINK(""http://www.ng.undp.org//content/nigeria/en/home/presscenter/speeches/2016/04/12/to-pursue-equitable-and-sustainable-economic-growth-structural-reforms-are-needed-fatma-samoura"",""more details"")"
