Header,Description,Link
Education : Access to basic services in public schools by level of education ,"Education
 
    …
   New entrants to primary education  
    …
   Expenditure by level of education as % of total government expenditure on education ","=HYPERLINK(""http://data.uis.unesco.org/index.aspx?queryname=194"",""more details"")"
Communication and information : Public libraries  ,"Education
 
    …
   New entrants to primary education  
    …
   Expenditure by level of education as % of total government expenditure on education ","=HYPERLINK(""http://data.uis.unesco.org/index.aspx?queryname=237"",""more details"")"
Feature films : Exhibition - Indicators  ,"Education
 
    …
   New entrants to primary education  
    …
   Expenditure by level of education as % of total government expenditure on education ","=HYPERLINK(""http://data.uis.unesco.org/index.aspx?queryname=60"",""more details"")"
Feature films : Cinema infrastructure - Size  ,"Education
 
    …
   New entrants to primary education  
    …
   Expenditure by level of education as % of total government expenditure on education ","=HYPERLINK(""http://data.uis.unesco.org/index.aspx?queryname=55"",""more details"")"
Feature films : Distribution of feature films  ,"Education
 
    …
   New entrants to primary education  
    …
   Expenditure by level of education as % of total government expenditure on education ","=HYPERLINK(""http://data.uis.unesco.org/index.aspx?queryname=54"",""more details"")"
Header,Description,Link
"Science,technology and innovation : Other supporting staff by sex (FTE and HC)  ","Education
 
    …
   New entrants to primary education  
    …
   Expenditure by level of education as % of total government expenditure on education ","=HYPERLINK(""http://data.uis.unesco.org/index.aspx?queryname=72"",""more details"")"
Feature films : Cinema infrastructure - Capacity  ,"Education
 
    …
   New entrants to primary education  
    …
   Expenditure by level of education as % of total government expenditure on education ","=HYPERLINK(""http://data.uis.unesco.org/index.aspx?queryname=56"",""more details"")"
"Science,technology and innovation :  Researchers by sex, per million inhabitants, per thousand labour force, per thousand total employment (FTE and HC)  ","Education
 
    …
   New entrants to primary education  
    …
   Expenditure by level of education as % of total government expenditure on education ","=HYPERLINK(""http://data.uis.unesco.org/index.aspx?queryname=64"",""more details"")"
Education : Inbound internationally mobile students by country of origin  ,"Education
 
    …
   New entrants to primary education  
    …
   Expenditure by level of education as % of total government expenditure on education ","=HYPERLINK(""http://data.uis.unesco.org/index.aspx?queryname=171"",""more details"")"
Feature films : Exhibition - Admissions & gross box office (GBO)  ,"Education
 
    …
   New entrants to primary education  
    …
   Expenditure by level of education as % of total government expenditure on education ","=HYPERLINK(""http://data.uis.unesco.org/index.aspx?queryname=59"",""more details"")"
Header,Description,Link
"Science,technology and innovation : Gross domestic expenditure on R&D (GERD), GERD as a percentage of GDP, GERD per capita and GERD per researcher  ","Education
 
    …
   New entrants to primary education  
    …
   Expenditure by level of education as % of total government expenditure on education ","=HYPERLINK(""http://data.uis.unesco.org/index.aspx?queryname=74"",""more details"")"
"Science,technology and innovation : GERD by type of costs and sector of performance  ","Education
 
    …
   New entrants to primary education  
    …
   Expenditure by level of education as % of total government expenditure on education ","=HYPERLINK(""http://data.uis.unesco.org/index.aspx?queryname=2295"",""more details"")"
Education ,"Education
 
    …
   New entrants to primary education  
    …
   Expenditure by level of education as % of total government expenditure on education ","=HYPERLINK(""http://data.uis.unesco.org/index.aspx?queryname=120"",""more details"")"
