Header,Date,Description,Link
"
Nigeria : Skills for Competitiveness and Employability
","Jun, 2015","This policy note is a diagnostic of the
            state of Nigerian skills and human capital. It seeks to
            understand the kinds and levels of human capital that
            Nigeria posses ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/24454"",""more details"")"
"
Basic Profile of Child Marriage in Nigeria
","Mar, 2016","This brief has provided a basic profile
            of child marriage in Nigeria. Measures of child marriage are
            high. The share of women ages 18-22 who married as children
            is  ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/24547"",""more details"")"
"
Governance and Finance Analysis of the Basic Education Sector in Nigeria
","Sep, 2015","Nigeria has achieved remarkable
            milestones in its development over the last decade. The
            country has enjoyed sustained economic growth, averaging 6
            percent gross domestic p ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/23683"",""more details"")"
"
Nigeria : Anambra Teachers
","Jan, 2012","Research suggests that teacher quality
            is the main school-based predictor of student achievement
            and that several consecutive years of outstanding teaching
            can o ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/17674"",""more details"")"
"
Nigeria School Feeding : SABER Country Report 2015
","Jan, 2015","This report presents an assessment of
            school feeding policies and institutions that affect young
            children in Nigeria. The analysis is based on a World Bank
            tool dev ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/22993"",""more details"")"
"
Nigeria : Ekiti Teachers
","Jan, 2012","Research suggests that teacher quality
            is the main school-based predictor of student achievement
            and that several consecutive years of outstanding teaching
            can o ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/17668"",""more details"")"
"
Nigeria : Bauchi Teachers
","Jan, 2012","Research suggests that teacher quality
            is the main school-based predictor of student achievement
            and that several consecutive years of outstanding teaching
            can o ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/17675"",""more details"")"
"
Costed Plan for Scaling Up Nutrition : Nigeria
","Sep, 2014","This paper estimates country-specific
            costs and benefits of scaling up key nutrition investments
            in Nigeria. Building on the methodology established in the
            global r ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/21808"",""more details"")"
"
Survey of ICT and Education in Africa : Nigeria Country Report
","Jun, 2007","
            general overview of current activities and issues related to
            ICT use in education in the country. The Federal Republic of
            Nigeria has no specific policy for ICT in ...","=HYPERLINK(""https://openknowledge.worldbank.org/handle/10986/10662"",""more details"")"
